site,featureID,localtypenum,localtype,labdays,initial_workers,,rmaxwt,rworkers,ttlq,ttlw,totworker,maxweight,sitenumber,,,,,,,
BLI,2,3,C,59.5,30,,-1.07765,9.447841448,21,442,403.5,62,1,,,,,,,
BORE,1,3,C,51,29.5,,-0.59796,-298.8028869,20,547,288.5,231,2,,,,,,,
BORW,35,3,C,52.5,25.5,,-1.89857,-270.1998172,18.5,373,283,81,3,,,,,,,
EH,34,3,C,59,28.5,,-1.26132,-172.9198485,12,264.5,232.5,51,10,,,,,,,
HAT1485,26,3,C,50,30.5,,0.52207,88.46173335,62,1360.5,698.5,356,15,,,,,,,
HATCAP,18,3,C,60.5,27.5,,1.46508,231.6832212,11,622.5,603,299,16,,,,,,,
HOLHOM,22,3,C,49.5,36,,0.58124,275.5940434,25,921,897,369,17,,,,,,,
MEE,3,3,C,67,25.5,,-0.41709,-124.0368101,0,139,99.5,20,21,,,,,,,
PER,19,3,C,52.5,27.5,,0.77767,231.8001828,53.5,824,785,345.5,24,,,,,,,
PIL,24,3,C,65.5,25.5,,0.18032,14.86012025,13,285.5,272.5,100.5,25,,,,,,,
ROM26,5,3,C,53.5,28.5,,-0.58519,-140.4644374,7,618,390,196.5,29,,,,,,,
SAG,9,3,C,55,32.5,,-2.04769,-256.3613677,0.5,274,240,30.5,30,,,,,,,
EAT,14,1,O,51.5,24.5,,-0.5863,-119.935197,33,544,456,225,8,,,,,,,
ECK,7,1,O,48,31,,-0.28849,-117.0090262,16,538.5,538.5,304.5,9,,,,,,,
EVE,16,1,O,54,29.5,,1.0656,75.40325255,99.5,594.5,594.5,352.5,11,,,,,,,
FUL4,11,1,O,56,25,,-1.43752,25.87401215,34.5,520,499.5,76.5,12,,,,,,,
FUL45,13,1,O,54,31.5,,-0.81636,-46.59674745,39,473,472.5,166.5,13,,,,,,,
GOO,25,1,O,49,29.5,,0.40769,176.2263536,38.5,843,809,359,14,,,,,,,
JOH,20,1,O,55,25.5,,0.93209,178.6386323,11.5,698.5,675,325,18,,,,,,,
PAC,4,1,O,53.5,33.5,,-1.09615,-139.4644374,3.5,413,391,146,23,,,,,,,
RIV63,12,1,O,55.5,29,,1.34342,156.5063222,104.5,693.5,641.5,358.5,28,,,,,,,
TER1,10,1,O,53,29,,1.53301,330.6678727,28,941,872.5,413,32,,,,,,,
TER2,32,1,O,53.5,30.5,,-0.46377,-179.9644374,19,306.5,350.5,208.5,33,,,,,,,
WIN,8,1,O,58.5,31,,0.23968,110.2124616,2.5,534.5,527,206.5,35,,,,,,,
BUZ,29,2,W,51,27,,0.19126,-78.30288685,62.5,729.5,509,309,4,,,,,,,
CCNP,17,2,W,58,25.5,,0.5265,-79.15522825,58.5,385,349,242,5,,,,,,,
CRPL,6,2,W,62.5,27,,0.56061,96.65398085,35,422.5,422.5,181,6,,,,,,,
DAV,33,2,W,48.5,26.5,,1.09418,-39.64133635,137.5,608,604.5,434,7,,,,,,,
MCNE,28,2,W,55.5,28,,-1.47448,-247.9936778,2,411,237,80,19,,,,,,,
MCNW,27,2,W,59.5,28,,-0.03043,-39.55215855,1,370.5,354.5,165.5,20,,,,,,,
MUR70,23,2,W,60,30,,-0.64609,-177.1844687,0,362.5,205.5,97.5,22,,,,,,,
PUT2,31,2,W,53.5,27,,1.48902,366.5355626,51.5,905.5,897,401.5,26,,,,,,,
PUT5,30,2,W,60.5,26.5,,-0.18924,-38.31677875,23.5,338,333,135.5,27,,,,,,,
SET,21,2,W,59,26.5,,1.10126,163.5801515,7,569,569,284.5,31,,,,,,,
TOM,15,3,W,65.5,29.5,,1.05047,83.36012025,25.5,362,341,186.5,34,,,,,,,
