"","site","BOX","TYPE","SITEBOX","flwpattern","prop_nh","featureID","localtypenum","localtype","labdays","initial_workers","rmaxwt","rworkers","ttlq","ttlw","totworker","maxweight","sitenumber"
"1","BORE",48,"CONV","BORE48","2h",0.0277932938173535,1,3,"C",51,29.5,-0.59796,-298.8028869,20,547,288.5,231,2
"2","BLI",18,"CONV","BLI18","l",0.00173832474663122,2,3,"C",59.5,30,-1.07765,9.447841448,21,442,403.5,62,1
"3","MEE",86,"CONV","MEE86","2h",0.0317499205680605,3,3,"C",67,25.5,-0.41709,-124.0368101,0,139,99.5,20,21
"4","PAC",64,"ORG","PAC64","l",0,4,1,"O",53.5,33.5,-1.09615,-139.4644374,3.5,413,391,146,23
"5","ROM",17,"CONV","ROM17","2h",0.00122891147868067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","CRPL",68,"WILD","CRPL68","e",0.924890900085667,6,2,"W",62.5,27,0.56061,96.65398085,35,422.5,422.5,181,6
"7","ECK",104,"ORG","ECK104","l",0.0469945192698391,7,1,"O",48,31,-0.28849,-117.0090262,16,538.5,538.5,304.5,9
"8","WIN",81,"ORG","WIN81","e",0.58852063806881,8,1,"O",58.5,31,0.23968,110.2124616,2.5,534.5,527,206.5,35
"9","SAG",0,"CONV","SAG","2h",0.00402851713643545,9,3,"C",55,32.5,-2.04769,-256.3613677,0.5,274,240,30.5,30
"10","TER",0,"ORG","TER1","e",0.530893862898725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","FUL4",57,"ORG","FUL4","e",0.455340408417021,11,1,"O",56,25,-1.43752,25.87401215,34.5,520,499.5,76.5,12
"12","RIV63",0,"ORG","RIV63","e",0.552310860165077,12,1,"O",55.5,29,1.34342,156.5063222,104.5,693.5,641.5,358.5,28
"13","FUL45",0,"ORG","FUL45","e",0.689130952426858,13,1,"O",54,31.5,-0.81636,-46.59674745,39,473,472.5,166.5,13
"14","EAT",0,"ORG","EAT","l",0.00602389149518728,14,1,"O",51.5,24.5,-0.5863,-119.935197,33,544,456,225,8
"15","TOM",72,"WILD","TOM72","e",0.765815394358125,15,3,"W",65.5,29.5,1.05047,83.36012025,25.5,362,341,186.5,34
"16","EVE",0,"ORG","EVE","2h",0.0160280851641106,16,1,"O",54,29.5,1.0656,75.40325255,99.5,594.5,594.5,352.5,11
"17","CCNP",0,"WILD","CCNP","2h",0.249872392560249,17,2,"W",58,25.5,0.5265,-79.15522825,58.5,385,349,242,5
"18","HATCAP",0,"CONV","HATCAP10","e",0.623275767355683,18,3,"C",60.5,27.5,1.46508,231.6832212,11,622.5,603,299,16
"19","PER",29,"CONV","PER29","e",0.640200654532942,19,3,"C",52.5,27.5,0.77767,231.8001828,53.5,824,785,345.5,24
"20","JOH",0,"ORG","JOH","e",0.326767966955219,20,1,"O",55,25.5,0.93209,178.6386323,11.5,698.5,675,325,18
"21","SET",0,"WILD","SET","l",0.275679227091803,21,2,"W",59,26.5,1.10126,163.5801515,7,569,569,284.5,31
"22","HOLH",46,"CONV","HOLHOME46","e",0.463126523810933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","MUR70",36,"WILD","MUR70","e",0.986268054803071,23,2,"W",60,30,-0.64609,-177.1844687,0,362.5,205.5,97.5,22
"24","PIL",62,"CONV","PIL62","e",0.45878905916987,24,3,"C",65.5,25.5,0.18032,14.86012025,13,285.5,272.5,100.5,25
"25","GOO",44063,"ORG","GOO4468","e",0.308236840258642,25,1,"O",49,29.5,0.40769,176.2263536,38.5,843,809,359,14
"26","HAT1485",32,"CONV","HAT148532","l",0,26,3,"C",50,30.5,0.52207,88.46173335,62,1360.5,698.5,356,15
"27","MCNW",53023,"WILD","MCNW","l",0.0468484412070611,27,2,"W",59.5,28,-0.03043,-39.55215855,1,370.5,354.5,165.5,20
"28","MCNE",39035,"WILD","MCNE","l",0.0457216099034877,28,2,"W",55.5,28,-1.47448,-247.9936778,2,411,237,80,19
"29","BUZ",69,"WILD","BUZ69","e",0.97205297122052,29,2,"W",51,27,0.19126,-78.30288685,62.5,729.5,509,309,4
"30","PUT5",34085,"WILD","PUT5","e",0.803009952462746,30,2,"W",60.5,26.5,-0.18924,-38.31677875,23.5,338,333,135.5,27
"31","PUT2",70,"WILD","PUT270","e",0.928949280661675,31,2,"W",53.5,27,1.48902,366.5355626,51.5,905.5,897,401.5,26
"32","TER2",66,"ORG","TER266","e",0.168755239477842,32,1,"O",53.5,30.5,-0.46377,-179.9644374,19,306.5,350.5,208.5,33
"33","DAV",88,"WILD","DAV88","2h",0.0734724937199925,33,2,"W",48.5,26.5,1.09418,-39.64133635,137.5,608,604.5,434,7
"34","EH",47,"CONV","EH47","l",0,34,3,"C",59,28.5,-1.26132,-172.9198485,12,264.5,232.5,51,10
"35","BORW",67,"CONV","BORW67","l",0,35,3,"C",52.5,25.5,-1.89857,-270.1998172,18.5,373,283,81,3
