lucode,lulc_name,nesting_Cavity_availability_index,nesting_Stem_availability_index,nesting_Wood_availability_index,nesting_Ground_availability_index,floral_resources_Spring_index,floral_resources_Summer_index,floral_resources_Fall_index,restore,protect
0,Background,0,0,0,0,0,0,0,0,0
1,Corn,0.09,0.11,0.1,0.15,0.09,0.27,0.13,1,0
2,Cotton,0.23,0.23,0.28,0.34,0.4,0.32,0.17,1,0
3,Rice,0.14,0.11,0.1,0.15,0.11,0.28,0.13,1,0
4,Sorghum,0.09,0.11,0.1,0.15,0.09,0.27,0.13,1,0
5,Soybeans,0.12,0.13,0.15,0.2,0.24,0.4,0.19,1,0
6,Sunflower,0.09,0.11,0.05,0.23,0.44,0.68,0.42,1,0
10,Peanuts,0.12,0.13,0.15,0.2,0.24,0.4,0.19,1,0
11,Tobacco,0.26,0.22,0.28,0.22,0.3,0.28,0.24,1,0
12,Sweet Corn,0.09,0.11,0.1,0.15,0.09,0.27,0.13,1,0
13,Pop or Orn Corn,0.09,0.11,0.1,0.15,0.09,0.27,0.13,1,0
14,Mint,0.1,0.08,0.05,0.26,0.3,0.56,0.33,1,0
21,Barley,0.14,0.11,0.1,0.15,0.11,0.28,0.13,1,0
22,Durum Wheat,0.14,0.11,0.1,0.15,0.11,0.28,0.13,1,0
23,Spring Wheat,0.14,0.11,0.1,0.15,0.11,0.28,0.13,1,0
24,Winter Wheat,0.14,0.11,0.1,0.15,0.11,0.28,0.13,1,0
25,Other Small Grains,0.14,0.11,0.1,0.15,0.11,0.28,0.13,1,0
26,Dbl Crop WinWht/Soybeans,0.27,0.27,0.3,0.3,0.28,0.27,0.26,1,0
27,Rye,0.14,0.11,0.1,0.15,0.11,0.28,0.13,1,0
28,Oats,0.14,0.11,0.1,0.15,0.11,0.28,0.13,1,0
29,Millet,0.14,0.11,0.1,0.15,0.11,0.28,0.13,1,0
30,Speltz,0.14,0.11,0.1,0.15,0.11,0.28,0.13,1,0
31,Canola,0.13,0.14,0.15,0.22,0.5,0.55,0.23,1,0
32,Flaxseed,0.13,0.14,0.15,0.22,0.5,0.55,0.23,1,0
33,Safflower,0.13,0.14,0.15,0.22,0.5,0.55,0.23,1,0
34,Rape Seed,0.13,0.14,0.15,0.22,0.5,0.55,0.23,1,0
35,Mustard,0.13,0.14,0.15,0.22,0.5,0.55,0.23,1,0
