Value,Ceratina_timberlakei,Megachile_apicalis,Osmia_atrocyanea,Bombus_sp,Agapostemon_texanus,Halictus_ligatus,Peponapis_pruinosa
1,9,9,9,9,9,9,13
2,32,32,32,32,32,17,17
3,11,11,11,11,11,11,13
4,9,9,9,9,9,9,13
5,24,24,24,24,24,19,19
6,44,44,44,44,44,42,42
10,24,24,24,24,24,19,19
11,28,28,28,28,28,24,24
12,9,9,9,9,9,9,13
13,9,9,9,9,9,9,13
14,30,30,30,30,30,30,33
21,11,11,11,11,11,11,13
22,11,11,11,11,11,11,13
23,11,11,11,11,11,11,13
24,11,11,11,11,11,11,13
25,11,11,11,11,11,11,13
26,27,27,27,27,27,26,26
27,11,11,11,11,11,11,13
28,11,11,11,11,11,11,13
29,11,11,11,11,11,11,13
30,11,11,11,11,11,11,13
31,50,50,50,50,50,23,23
32,50,50,50,50,50,23,23
33,50,50,50,50,50,23,23
34,50,50,50,50,50,23,23
35,50,50,50,50,50,23,23
36,24,24,24,24,24,23,23
37,40,40,40,40,40,40,40
38,50,50,50,50,50,23,23
39,28,28,28,28,28,28,32
41,18,18,18,18,18,18,18
42,24,24,24,24,24,19,19
43,30,30,30,30,30,25,25
44,29,29,29,29,29,27,27
45,11,11,11,11,11,11,13
46,30,30,30,30,30,25,25
47,26,26,26,26,26,20,20
48,28,28,28,28,28,17,17
49,18,18,18,18,18,18,18
50,23,23,23,23,23,19,19
51,22,22,22,22,22,18,18
52,11,11,11,11,11,11,13
53,22,22,22,22,22,18,18
54,30,30,30,30,30,25,25
55,46,46,46,46,46,23,23
56,11,11,11,11,11,11,13
57,30,30,30,30,30,30,33
58,69,69,69,69,69,68,68
59,21,21,21,21,21,21,21
60,21,21,21,21,21,21,21
61,27,27,27,27,27,27,33
62,40,40,40,40,40,40,40
63,46,46,46,46,46,40,40
64,58,58,58,58,58,45,45
65,25,25,25,25,25,22,22
66,29,29,29,29,29,12,12
67,29,29,29,29,29,12,12
68,29,29,29,29,29,12,12
69,24,24,24,24,24,15,15
70,26,26,26,26,26,26,34
71,36,36,36,36,36,33,33
72,34,34,34,34,34,34,36
74,27,27,27,27,27,13,13
75,29,29,29,29,29,12,12
76,27,27,27,27,27,13,13
77,29,29,29,29,29,12,12
83,0,0,0,0,0,0,0
87,52,52,52,52,52,45,45
92,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0
121,46,46,46,46,46,46,46
122,53,53,53,53,53,48,48
123,41,41,41,41,41,39,39
124,32,32,32,32,32,26,26
131,25,25,25,25,25,22,22
141,53,53,53,53,53,40,40
142,43,43,43,43,43,36,36
143,46,46,46,46,46,40,40
152,58,58,58,58,58,45,45
171,40,40,40,40,40,40,40
176,40,40,40,40,40,40,40
181,40,40,40,40,40,40,40
190,53,53,53,53,53,43,43
195,46,46,46,46,46,44,44
204,27,27,27,27,27,13,13
205,11,11,11,11,11,11,13
206,18,18,18,18,18,18,18
207,21,21,21,21,21,12,12
208,18,18,18,18,18,18,18
209,23,23,23,23,23,19,19
210,29,29,29,29,29,12,12
211,24,24,24,24,24,17,17
212,34,34,34,34,34,34,36
213,23,23,23,23,23,19,19
214,22,22,22,22,22,18,18
216,30,30,30,30,30,25,25
217,29,29,29,29,29,12,12
218,29,29,29,29,29,12,12
219,22,22,22,22,22,18,18
220,29,29,29,29,29,12,12
221,32,32,32,32,32,13,13
222,27,27,27,27,27,27,32
223,29,29,29,29,29,12,12
224,24,24,24,24,24,19,19
225,27,27,27,27,27,26,26
226,27,27,27,27,27,26,26
227,22,22,22,22,22,18,18
229,27,27,27,27,27,27,32
230,27,27,27,27,27,26,26
231,23,23,23,23,23,19,19
232,27,27,27,27,27,26,26
233,27,27,27,27,27,26,26
234,27,27,27,27,27,26,26
235,27,27,27,27,27,26,26
236,27,27,27,27,27,26,26
237,27,27,27,27,27,26,26
238,27,27,27,27,27,26,26
239,27,27,27,27,27,26,26
240,27,27,27,27,27,26,26
241,27,27,27,27,27,26,26
242,46,46,46,46,46,23,23
243,22,22,22,22,22,18,18
244,22,22,22,22,22,18,18
245,22,22,22,22,22,18,18
246,18,18,18,18,18,18,18
247,18,18,18,18,18,18,18
248,30,30,30,30,30,25,25
249,27,27,27,27,27,27,32
250,46,46,46,46,46,23,23
254,27,27,27,27,27,26,26
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
